code,name,category,bk_code
sh510050,上证50ETF,宽基,
sh510300,沪深300ETF,宽基,
sh510500,中证500ETF,宽基,
sh512010,医药ETF,行业,BK0465
sh512480,半导体ETF,行业,BK0917
sh512690,白酒ETF,行业,BK0896
sh512800,银行ETF,行业,BK0475
sh513120,港股创新药ETF,跨境,
sh518880,黄金ETF,商品,
sh515030,新能源车ETF,行业,BK0900
sh512660,军工ETF,行业,BK0490
sh515790,光伏ETF,行业,BK0588
sh516160,新能源ETF,行业,BK0493
sh516020,化工ETF华宝,行业,BK0693
sh515220,煤炭ETF国泰,行业,BK0437
sh515250,智能汽车ETF富国,行业,
sh515880,通信ETF国泰,行业,
sh515980,人工智能ETF华富,行业,
sh562500,机器人ETF华夏,行业,
sz159611,电力ETF广发,行业,
sz159996,家电ETF国泰,行业,
sh516010,游戏ETF国泰,行业,
